%time,field.header.seq,field.header.stamp,field.header.frame_id,field.actuate,field.body_name.data,field.use_offset,field.body_offset.position.x,field.body_offset.position.y,field.body_offset.position.z,field.body_offset.orientation.x,field.body_offset.orientation.y,field.body_offset.orientation.z,field.body_offset.orientation.w,field.use_sensor_data,field.sensor_identifier.data
1682977999954179000,1403,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682977999962688457,1404,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682977999971296406,1405,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682977999981763736,1406,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682977999987945552,1407,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682977999999500754,1408,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000004510471,1409,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000012200676,1410,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000020979176,1411,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000029428080,1412,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000042082074,1413,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000045751552,1414,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000053793627,1415,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000064677228,1416,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000070871991,1417,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000080855354,1418,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000088148223,1419,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000097734111,1420,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000104590261,1421,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000115022220,1422,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000120995466,1423,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000129237297,1424,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
