%time,field.header.seq,field.header.stamp,field.header.frame_id,field.sim_step,field.type.data,field.parent_name.data,field.identifier.data,field.name.data,field.wall_time,field.sim_time,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.actuated
1683409358544675084,2242,1683409358536037445,,3651,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.498458862304688,30.424999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358552773138,2243,1683409358544834852,,3652,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.506792068481445,30.433332443237305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358561055046,2244,1683409358552875519,,3653,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.515125274658203,30.441667556762695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358569399432,2245,1683409358561347008,,3654,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.523460388183594,30.450000762939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358577719146,2246,1683409358569974422,,3655,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.53179359436035,30.45833396911621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358586021420,2247,1683409358577972412,,3656,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.54012680053711,30.46666717529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358594378654,2248,1683409358586291790,,3657,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.548460006713867,30.475000381469727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358602697008,2249,1683409358595078468,,3658,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.556793212890625,30.483333587646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358611083834,2250,1683409358602745295,,3659,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.565126419067383,30.491666793823242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358619398157,2251,1683409358611211061,,3660,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.57345962524414,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358627682049,2252,1683409358620164394,,3661,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.58179473876953,30.508333206176758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358636014367,2253,1683409358627857924,,3662,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.59012794494629,30.516666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358644342803,2254,1683409358636179447,,3663,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.598459243774414,30.524999618530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358652678098,2255,1683409358645158052,,3664,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.606792449951172,30.53333282470703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358661052903,2256,1683409358652837038,,3665,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.61512565612793,30.54166603088379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358669395514,2257,1683409358661061525,,3666,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.62346076965332,30.549999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358677696943,2258,1683409358670276165,,3667,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.631793975830078,30.558332443237305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358686098158,2259,1683409358677782059,,3668,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.640127182006836,30.566667556762695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358694411586,2260,1683409358686310053,,3669,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.648460388183594,30.575000762939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358702709941,2261,1683409358695037127,,3670,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.65679359436035,30.58333396911621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358711075897,2262,1683409358702891827,,3671,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.66512680053711,30.59166717529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358719384252,2263,1683409358711086273,,3672,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,30.673460006713867,30.600000381469727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
