%time,field.header.seq,field.header.stamp,field.header.frame_id,field.sim_step,field.type.data,field.parent_name.data,field.identifier.data,field.name.data,field.wall_time,field.sim_time,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.actuated
1683408596944909107,3533,1683408596940361500,,5635,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.0426139831543,46.95833206176758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408596953236620,3534,1683408596948142767,,5636,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.05094909667969,46.96666717529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408596961569293,3535,1683408596956484318,,5637,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.05928039550781,46.974998474121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408596969961340,3536,1683408596965443850,,5638,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.0676155090332,46.983333587646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408596978242743,3537,1683408596973331451,,5639,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.07594680786133,46.99166488647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408596986611722,3538,1683408596981600523,,5640,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.08428192138672,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408596994918908,3539,1683408596990651131,,5641,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.092613220214844,47.00833511352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597003245478,3540,1683408596998267889,,5642,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.100948333740234,47.016666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597011631340,3541,1683408597006595850,,5643,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.10927963256836,47.025001525878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597020032129,3542,1683408597015501261,,5644,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.11761474609375,47.03333282470703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597028265523,3543,1683408597023389339,,5645,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.125946044921875,47.04166793823242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597036579670,3544,1683408597031706572,,5646,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.134281158447266,47.04999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597044929368,3545,1683408597040552855,,5647,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.142616271972656,47.05833435058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597053321873,3546,1683408597048531771,,5648,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.15094757080078,47.06666564941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597061570502,3547,1683408597056752205,,5649,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.15928268432617,47.07500076293945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597069912470,3548,1683408597065619707,,5650,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.1676139831543,47.08333206176758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597078272333,3549,1683408597073560238,,5651,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.17594909667969,47.09166717529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597086563401,3550,1683408597081704855,,5652,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.18428039550781,47.099998474121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597094910031,3551,1683408597090777636,,5653,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.1926155090332,47.108333587646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597103255120,3552,1683408597098464251,,5654,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.20094680786133,47.11666488647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597111590079,3553,1683408597106856346,,5655,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.20928192138672,47.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597119875240,3554,1683408597116132259,,5656,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.21761703491211,47.13333511352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597128224095,3555,1683408597123536110,,5657,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.225948333740234,47.141666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597136587958,3556,1683408597131768942,,5658,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.234283447265625,47.150001525878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597144953299,3557,1683408597140521049,,5659,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.24261474609375,47.15833282470703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597153300162,3558,1683408597148763180,,5660,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.25094985961914,47.16666793823242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597161613609,3559,1683408597157209396,,5661,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.259281158447266,47.17499923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597169918259,3560,1683408597166107655,,5662,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.267616271972656,47.18333435058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597178271820,3561,1683408597173961639,,5663,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.27594757080078,47.19166564941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597186616917,3562,1683408597181916952,,5664,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.28428268432617,47.20000076293945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597194901184,3563,1683408597190906048,,5665,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.2926139831543,47.20833206176758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597203254279,3564,1683408597198771954,,5666,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.30094909667969,47.21666717529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597211653540,3565,1683408597207101107,,5667,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.30928421020508,47.224998474121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
