%time,field.header.seq,field.header.stamp,field.header.frame_id,field.sim_step,field.type.data,field.parent_name.data,field.identifier.data,field.name.data,field.wall_time,field.sim_time,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.actuated
1683409358548294199,2207,1683409358544834852,,3652,CONSTRAINT,/ambf/env/psm2/BODY tool yaw link,/ambf/env/psm2/ACTUATOR Actuator0,Actuator0,30.506792068481445,30.433332443237305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358556650329,2208,1683409358552875519,,3653,CONSTRAINT,/ambf/env/psm2/BODY tool yaw link,/ambf/env/psm2/ACTUATOR Actuator0,Actuator0,30.515125274658203,30.441667556762695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358564915103,2209,1683409358561347008,,3654,CONSTRAINT,/ambf/env/psm2/BODY tool yaw link,/ambf/env/psm2/ACTUATOR Actuator0,Actuator0,30.523460388183594,30.450000762939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358573310835,2210,1683409358569974422,,3655,CONSTRAINT,/ambf/env/psm2/BODY tool yaw link,/ambf/env/psm2/ACTUATOR Actuator0,Actuator0,30.53179359436035,30.45833396911621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358581696248,2211,1683409358577972412,,3656,CONSTRAINT,/ambf/env/psm2/BODY tool yaw link,/ambf/env/psm2/ACTUATOR Actuator0,Actuator0,30.54012680053711,30.46666717529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358589956517,2212,1683409358586291790,,3657,CONSTRAINT,/ambf/env/psm2/BODY tool yaw link,/ambf/env/psm2/ACTUATOR Actuator0,Actuator0,30.548460006713867,30.475000381469727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358598255822,2213,1683409358595078468,,3658,CONSTRAINT,/ambf/env/psm2/BODY tool yaw link,/ambf/env/psm2/ACTUATOR Actuator0,Actuator0,30.556793212890625,30.483333587646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358606625879,2214,1683409358602745295,,3659,CONSTRAINT,/ambf/env/psm2/BODY tool yaw link,/ambf/env/psm2/ACTUATOR Actuator0,Actuator0,30.565126419067383,30.491666793823242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358614989693,2215,1683409358611211061,,3660,CONSTRAINT,/ambf/env/psm2/BODY tool yaw link,/ambf/env/psm2/ACTUATOR Actuator0,Actuator0,30.57345962524414,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683409358623326116,2216,1683409358620164394,,3661,CONSTRAINT,/ambf/env/psm2/BODY tool yaw link,/ambf/env/psm2/ACTUATOR Actuator0,Actuator0,30.58179473876953,30.508333206176758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
