%time,field.header.seq,field.header.stamp,field.header.frame_id,field.cartesian_cmd_type,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z,field.joint_cmds_types0,field.joint_cmds_types1,field.joint_cmds_types2,field.joint_cmds_types3,field.joint_cmds_types4,field.joint_cmds_types5,field.joint_cmds_types6,field.joint_cmds_types7,field.joint_cmds0,field.joint_cmds1,field.joint_cmds2,field.joint_cmds3,field.joint_cmds4,field.joint_cmds5,field.joint_cmds6,field.joint_cmds7,field.publish_children_names,field.publish_joint_names,field.publish_joint_positions
1683409358563213318,1150,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358571027805,1151,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358577307707,1152,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358585033100,1153,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358594640355,1154,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358603671280,1155,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358610266705,1156,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358618911088,1157,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358628451237,1158,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358636039973,1159,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358643717477,1160,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358652206497,1161,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358660568937,1162,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358668690093,1163,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358676833489,1164,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358685978314,1165,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358695514876,1166,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358701993524,1167,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358710592062,1168,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358719330193,1169,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358727009237,1170,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358735176630,1171,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358744752894,1172,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358752763174,1173,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358760277427,1174,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358768880287,1175,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358777475449,1176,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358785288755,1177,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
1683409358794566858,1178,1683409349274817228,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,1,1
