%time,field.header.seq,field.header.stamp,field.header.frame_id,field.actuate,field.body_name.data,field.use_offset,field.body_offset.position.x,field.body_offset.position.y,field.body_offset.position.z,field.body_offset.orientation.x,field.body_offset.orientation.y,field.body_offset.orientation.z,field.body_offset.orientation.w,field.use_sensor_data,field.sensor_identifier.data
1683408596762401722,1981,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596766958831,1982,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596774965404,1983,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596783934248,1984,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596793079431,1985,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596799802350,1986,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596810313428,1987,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596817513437,1988,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596827532933,1989,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596833470695,1990,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596841572376,1991,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596851651517,1992,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596860550723,1993,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596867401744,1994,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596875070988,1995,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596883680183,1996,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596892320382,1997,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596900232958,1998,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596908611544,1999,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596920404381,2000,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596925125168,2001,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596933695402,2002,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596942582666,2003,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
