%time,field.header.seq,field.header.stamp,field.header.frame_id,field.actuate,field.body_name.data,field.use_offset,field.body_offset.position.x,field.body_offset.position.y,field.body_offset.position.z,field.body_offset.orientation.x,field.body_offset.orientation.y,field.body_offset.orientation.z,field.body_offset.orientation.w,field.use_sensor_data,field.sensor_identifier.data
1683408596761371505,1976,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596766494782,1977,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596775281022,1978,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596783568811,1979,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596793258237,1980,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596801626986,1981,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596810331709,1982,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596816546906,1983,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596826138906,1984,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596833570737,1985,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596841921296,1986,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596851636833,1987,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596860140459,1988,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596866411518,1989,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596875670156,1990,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596883690586,1991,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596892217320,1992,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596900242050,1993,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596907936439,1994,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596916424329,1995,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596924867308,1996,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596933178755,1997,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596941769912,1998,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596950000187,1999,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596958356191,2000,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596966686006,2001,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596976052785,2002,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596983002164,2003,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408596991540184,2004,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597000822473,2005,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597009351938,2006,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597016841287,2007,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597024867107,2008,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597034918813,2009,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597041865895,2010,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597051003075,2011,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597058286058,2012,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597067060440,2013,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597074723273,2014,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597083097533,2015,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597092778963,2016,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597101457444,2017,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597108593471,2018,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597116833713,2019,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597125501613,2020,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597134256264,2021,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597141480260,2022,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597149621322,2023,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597158907423,2024,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597166624470,2025,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597175858415,2026,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597184481612,2027,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597191446639,2028,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597199547755,2029,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597210094824,2030,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597216905184,2031,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597224602258,2032,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597233459791,2033,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597244925436,2034,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597252521393,2035,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597258462090,2036,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597266074835,2037,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597275079084,2038,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597283530612,2039,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597292910606,2040,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597299751097,2041,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597308839309,2042,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597316080973,2043,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597324966884,2044,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597333798702,2045,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597343100364,2046,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597350193614,2047,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597358810344,2048,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597366891884,2049,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597375172320,2050,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597383286731,2051,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597391769140,2052,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597401047590,2053,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597408550797,2054,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597416238581,2055,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597425025913,2056,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597432990132,2057,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597441716087,2058,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597450647730,2059,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597459344924,2060,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597467140281,2061,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597475156479,2062,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683408597483642547,2063,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
